//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
151126016 CoolingStageAlarmCS2Cleared
167837952 ReactorAlarmRC1ABCleared
167838208 ReactorAlarmRC1HDCleared
167838464 ReactorAlarmRC1ALCleared
167838720 ReactorAlarmRC1SFCleared
167903488 ReactorAlarmRC2ABCleared
167903744 ReactorAlarmRC2HDCleared
167904000 ReactorAlarmRC2ALCleared
167904256 ReactorAlarmRC2SFCleared
167969024 ReactorAlarmRC3ABCleared
167969280 ReactorAlarmRC3HDCleared
167969536 ReactorAlarmRC3ALCleared
167969792 ReactorAlarmRC3SFCleared
168034560 ReactorAlarmRC4ABCleared
168034816 ReactorAlarmRC4HDCleared
168035072 ReactorAlarmRC4ALCleared
168035328 ReactorAlarmRC4SFCleared
168100096 Rev0.08-1Chg
168100352 Rev0.08-1Chg
168100608 Rev0.08-1Chg
168100864 Rev0.08-1Chg
184615168 ReactorAlarmRC1PMLimit1OverCleared
184615424 ReactorAlarmRC1PMLimit2OverCleared
184615680 ReactorAlarmRC1PMLimit3OverCleared
184615936 ReactorAlarmRC1PMLimit4OverCleared
184616192 ReactorAlarmRC1PMLimit5OverCleared
184616448 ReactorAlarmRC1PMLimit6OverCleared
184616704 ReactorAlarmRC1PMLimit7OverCleared
184616960 ReactorAlarmRC1PMLimit8OverCleared
184617216 ReactorAlarmRC1PMLimit9OverCleared
184617472 ReactorAlarmRC1PMLimit10OverCleared
184617728 ReactorAlarmRC1PMLimit11OverCleared
184617984 ReactorAlarmRC1PMLimit12OverCleared
184618240 ReactorAlarmRC1PMLimit13OverCleared
184618496 ReactorAlarmRC1PMLimit14OverCleared
184618752 ReactorAlarmRC1PMLimit15OverCleared
184619008 ReactorAlarmRC1PMLimit16OverCleared
184619264 ReactorAlarmRC1PMLimit17OverCleared
184619520 ReactorAlarmRC1PMLimit18OverCleared
184619776 ReactorAlarmRC1PMLimit19OverCleared
184620032 ReactorAlarmRC1PMLimit20OverCleared
184647936 ReactorAlarmRC1PMDOLimitOverCleared
184648192 ReactorAlarmRC1PMRFLimitOverCleared
184648448 ReactorAlarmRC1PMThicknessLimitOverCleared
184680704 ReactorAlarmRC2PMLimit1OverCleared
184680960 ReactorAlarmRC2PMLimit2OverCleared
